시도,시군구,인구(명),학교 수(개),인구 증감률(%)
울산광역시,중구,"305,720",121,-2.8
울산광역시,남구,"329,380",134,-1.4
울산광역시,동구,"437,460",175,-0.6
울산광역시,북구,"437,950",169,-0.4
울산광역시,울주군,"21,470",13,-1.8
세종특별자치시,세종시,"217,680",86,-0.9
경기도,수원시,"655,610",259,0.2
경기도,성남시,"859,350",336,1.4
경기도,의정부시,"258,640",103,-1.0
경기도,안양시,"691,700",270,-2.9
경기도,부천시,"1,057,760",411,2.4
경기도,광명시,"337,940",133,0.5
경기도,평택시,"347,900",141,2.1
경기도,동두천시,"111,780",49,-0.6
경기도,안산시,"875,010",340,1.4
경기도,고양시,"910,710",355,1.0
경기도,과천시,"276,350",110,-0.5
경기도,구리시,"103,700",41,-1.9
경기도,남양주시,"411,260",166,-1.4
경기도,오산시,"344,890",134,-1.2
경기도,시흥시,"364,340",145,1.2
경기도,군포시,"121,410",48,-0.3
경기도,의왕시,"317,690",127,-3.1
경기도,하남시,"321,100",129,-1.5
경기도,용인시,"901,960",350,-0.1
경기도,파주시,"366,920",148,0.9
경기도,이천시,"193,460",80,0.4
경기도,안성시,"443,870",172,-3.0
경기도,김포시,"282,220",111,0.2
경기도,화성시,"1,101,240",429,-1.8
경기도,광주시,"143,860",59,-1.2
경기도,양주시,"312,060",128,-3.3
경기도,포천시,"406,510",160,-0.4
경기도,여주시,"356,690",140,-0.5
경기도,연천군,"30,250",17,-3.3
경기도,가평군,"63,400",27,1.1
경기도,양평군,"32,470",16,-0.5
충청북도,청주시,"912,360",357,-0.3
충청북도,충주시,"238,440",98,-2.0
충청북도,제천시,"233,350",97,2.5
충청북도,보은군,"23,340",15,2.2
충청북도,옥천군,"50,160",20,0.1
충청북도,영동군,"22,900",11,-0.2
충청북도,증평군,"73,730",32,-1.4
충청북도,진천군,"77,470",35,-1.2
충청북도,괴산군,"21,260",15,-2.8
충청북도,음성군,"35,490",17,0.8
충청북도,단양군,"71,850",33,-1.6
충청남도,천안시,"913,380",354,-2.3
충청남도,공주시,"211,360",88,-2.1
충청남도,보령시,"197,450",79,0.2
충청남도,아산시,"293,720",116,-0.6
충청남도,서산시,"366,800",148,1.8
충청남도,논산시,"323,090",129,-1.1
충청남도,계룡시,"446,120",179,-0.9
충청남도,당진시,"221,810",91,2.1
충청남도,금산군,"75,070",31,2.2
충청남도,부여군,"37,660",15,1.8
충청남도,서천군,"35,370",19,-3.0
충청남도,청양군,"66,310",30,-1.8
충청남도,홍성군,"25,460",15,-3.3
충청남도,예산군,"58,100",25,1.7
충청남도,태안군,"41,650",19,2.1
경상북도,포항시,"627,030",242,-3.1
경상북도,경주시,"328,900",131,-0.6
경상북도,김천시,"66,570",26,2.4
경상북도,안동시,"269,400",106,-3.4
경상북도,구미시,"190,840",79,-2.7
경상북도,영주시,"443,560",174,-1.5
경상북도,영천시,"66,200",31,0.6
경상북도,상주시,"273,350",109,-1.7
경상북도,문경시,"119,490",49,-2.1
경상북도,경산시,"154,610",62,0.5
경상북도,의성군,"36,490",16,-0.7
경상북도,청송군,"74,900",36,-0.0
경상북도,영양군,"48,860",24,-0.4
경상북도,영덕군,"28,990",17,-1.9
경상북도,청도군,"36,030",16,-2.2
경상북도,고령군,"72,030",32,-1.1
경상북도,성주군,"27,350",17,0.8
경상북도,칠곡군,"49,740",24,1.3
경상북도,예천군,"70,440",33,-1.3
경상북도,봉화군,"26,990",18,0.9
경상북도,울진군,"27,820",14,1.3
경상북도,울릉군,"30,990",15,-0.4
경상남도,창원시,"697,420",275,0.6
경상남도,진주시,"249,880",98,-1.4
경상남도,통영시,"421,970",163,0.6
경상남도,사천시,"137,990",60,0.8
경상남도,김해시,"415,840",165,-1.9
경상남도,밀양시,"69,800",32,-3.2
경상남도,거제시,"138,740",58,1.4
경상남도,양산시,"288,910",114,-3.2
경상남도,의령군,"24,830",10,-0.1
경상남도,함안군,"32,290",20,0.7
경상남도,창녕군,"73,020",31,0.6
경상남도,고성군,"56,720",24,-1.0
경상남도,남해군,"46,270",24,-2.5
경상남도,하동군,"76,280",37,-1.1
경상남도,산청군,"26,710",16,-0.6
경상남도,함양군,"23,220",14,2.0
경상남도,거창군,"64,660",27,1.2
경상남도,합천군,"59,480",30,0.7
제주특별자치도,제주시,"311,180",126,1.2
제주특별자치도,서귀포시,"121,310",49,-3.3
강원특별자치도,춘천시,"248,600",100,-2.3
강원특별자치도,원주시,"105,770",48,2.4
강원특별자치도,강릉시,"220,360",93,-0.9
강원특별자치도,동해시,"99,060",40,-1.6
강원특별자치도,태백시,"424,570",167,2.1
강원특별자치도,속초시,"374,170",149,1.4
강원특별자치도,삼척시,"425,310",166,-3.2
강원특별자치도,홍천군,"39,320",21,-3.4
강원특별자치도,횡성군,"70,510",28,-0.9
강원특별자치도,영월군,"57,600",28,-0.3
강원특별자치도,평창군,"62,550",31,1.2
강원특별자치도,정선군,"35,100",16,-0.6
강원특별자치도,철원군,"52,330",25,2.3
강원특별자치도,화천군,"25,640",15,-1.8
강원특별자치도,양구군,"71,240",27,-2.2
강원특별자치도,인제군,"47,420",20,-2.4
강원특별자치도,고성군,"33,860",13,-1.6
강원특별자치도,양양군,"31,920",16,-2.0
전북특별자치도,전주시,"707,540",276,-2.4
전북특별자치도,군산시,"221,920",88,-1.0
전북특별자치도,익산시,"177,350",74,-2.3
전북특별자치도,정읍시,"293,040",120,-2.4
전북특별자치도,남원시,"133,210",53,1.8
전북특별자치도,김제시,"226,830",93,-0.1
전북특별자치도,완주군,"66,750",33,0.7
전북특별자치도,진안군,"30,290",13,0.6
전북특별자치도,무주군,"51,250",20,-0.2
전북특별자치도,장수군,"30,080",15,0.6
전북특별자치도,임실군,"38,730",18,1.4
전북특별자치도,순창군,"53,100",25,1.8
전북특별자치도,고창군,"37,150",20,-2.9
전북특별자치도,부안군,"26,610",18,-1.0
