행정기관코드,시도,시군구,읍면동,인구(명),학교 수(개),인구 증감률(%)
1123054500,서울특별시,동대문구,제기동,"23,960",5,3.0
1123056000,서울특별시,동대문구,전농1동,"19,490",3,1.0
1123057000,서울특별시,동대문구,전농2동,"17,510",4,1.3
1123061000,서울특별시,동대문구,답십리2동,"7,930",3,0.0
1123065000,서울특별시,동대문구,장안1동,"31,820",4,-0.1
1123066000,서울특별시,동대문구,장안2동,"31,350",4,2.4
1123074000,서울특별시,동대문구,이문1동,"35,220",5,-3.0
1123075000,서울특별시,동대문구,이문2동,"38,710",5,-0.6
1123060000,서울특별시,동대문구,답십리1동,"45,680",7,2.4
1123053300,서울특별시,동대문구,용두동,"27,740",5,-2.5
1126052000,서울특별시,중랑구,면목2동,"31,390",4,-4.0
1126054000,서울특별시,중랑구,면목4동,"30,530",6,-3.6
1126055000,서울특별시,중랑구,면목5동,"6,070",3,0.5
1126057000,서울특별시,중랑구,면목7동,"40,000",5,-2.1
1126058000,서울특별시,중랑구,상봉1동,"36,280",6,3.6
1126059000,서울특별시,중랑구,상봉2동,"12,010",3,-1.7
1126060000,서울특별시,중랑구,중화1동,"18,220",4,3.3
1126061000,서울특별시,중랑구,중화2동,"8,460",3,-1.9
1126062000,서울특별시,중랑구,묵1동,"29,090",4,-2.2
1126063000,서울특별시,중랑구,묵2동,"24,540",3,1.6
1126066000,서울특별시,중랑구,망우3동,"9,820",3,1.7
1126068000,서울특별시,중랑구,신내1동,"15,820",5,3.8
1126069000,서울특별시,중랑구,신내2동,"28,650",3,0.1
1126056500,서울특별시,중랑구,면목본동,"10,920",2,0.1
1126057500,서울특별시,중랑구,면목3·8동,"39,400",7,0.8
1126065500,서울특별시,중랑구,망우본동,"19,300",4,2.4
1129058000,서울특별시,성북구,돈암1동,"33,950",6,-1.1
1129059000,서울특별시,성북구,돈암2동,"23,380",4,2.4
1129060000,서울특별시,성북구,안암동,"9,780",2,-3.8
1129061000,서울특별시,성북구,보문동,"17,270",2,-2.3
1129062000,서울특별시,성북구,정릉1동,"33,910",6,1.5
1129063000,서울특별시,성북구,정릉2동,"18,670",3,2.9
1129064000,서울특별시,성북구,정릉3동,"24,080",3,-0.5
1129065000,서울특별시,성북구,정릉4동,"17,440",3,-3.5
1129066000,서울특별시,성북구,길음1동,"10,390",2,1.8
1129068500,서울특별시,성북구,길음2동,"26,610",5,-2.1
1129071500,서울특별시,성북구,월곡1동,"6,520",2,-1.3
1129072500,서울특별시,성북구,월곡2동,"38,650",6,-1.3
1129076000,서울특별시,성북구,장위1동,"13,250",3,3.3
1129077000,서울특별시,성북구,장위2동,"11,250",2,-3.1
1129078000,서울특별시,성북구,장위3동,"19,180",4,-4.0
1129052500,서울특별시,성북구,성북동,"38,660",6,-3.7
1129055500,서울특별시,성북구,삼선동,"30,170",6,-0.5
1129057500,서울특별시,성북구,동선동,"47,800",7,0.7
1129070500,서울특별시,성북구,종암동,"6,030",3,-1.0
1129081000,서울특별시,성북구,석관동,"41,210",6,-0.0
1130559500,서울특별시,강북구,번1동,"30,520",5,-1.3
1130560300,서울특별시,강북구,번2동,"39,950",7,3.4
1130560800,서울특별시,강북구,번3동,"22,010",5,-3.5
1130561500,서울특별시,강북구,수유1동,"47,270",7,-2.1
1130562500,서울특별시,강북구,수유2동,"32,620",5,-3.1
1130563500,서울특별시,강북구,수유3동,"19,150",4,1.6
1130553400,서울특별시,강북구,삼양동,"24,090",3,1.6
1130553500,서울특별시,강북구,미아동,"27,840",4,-1.9
1130554500,서울특별시,강북구,송중동,"22,690",6,1.0
1130555500,서울특별시,강북구,송천동,"14,160",3,-3.0
1130557500,서울특별시,강북구,삼각산동,"26,720",4,0.8
1130564500,서울특별시,강북구,우이동,"27,690",4,1.9
1130566000,서울특별시,강북구,인수동,"39,180",7,-3.7
1132066000,서울특별시,도봉구,쌍문1동,"28,760",6,-2.2
1132067000,서울특별시,도봉구,쌍문2동,"46,320",5,0.0
1132068000,서울특별시,도봉구,쌍문3동,"36,180",5,0.2
1132068100,서울특별시,도봉구,쌍문4동,"33,460",5,0.1
1132069000,서울특별시,도봉구,방학1동,"35,430",7,-0.4
1132070000,서울특별시,도봉구,방학2동,"39,160",6,-2.7
1132071000,서울특별시,도봉구,방학3동,"20,830",4,2.2
1132051100,서울특별시,도봉구,창1동,"15,130",2,-0.2
1132051200,서울특별시,도봉구,창2동,"23,480",4,-3.7
1132051300,서울특별시,도봉구,창3동,"28,170",6,3.1
1132051400,서울특별시,도봉구,창4동,"27,610",4,-2.9
1132051500,서울특별시,도봉구,창5동,"7,450",3,3.2
1132052100,서울특별시,도봉구,도봉1동,"18,700",5,0.8
1132052200,서울특별시,도봉구,도봉2동,"7,020",4,-3.3
1135056000,서울특별시,노원구,월계1동,"33,780",4,3.9
1135057000,서울특별시,노원구,월계2동,"43,770",7,-1.0
1135058000,서울특별시,노원구,월계3동,"45,110",5,2.7
1135060000,서울특별시,노원구,공릉2동,"16,990",2,2.9
1135061100,서울특별시,노원구,하계1동,"9,310",1,-3.2
1135061200,서울특별시,노원구,하계2동,"16,260",4,2.0
1135061900,서울특별시,노원구,중계본동,"19,590",5,-2.5
1135062100,서울특별시,노원구,중계1동,"24,770",5,1.6
1135062400,서울특별시,노원구,중계4동,"38,910",6,-1.6
1135063000,서울특별시,노원구,상계1동,"25,610",6,-3.9
1135064000,서울특별시,노원구,상계2동,"30,940",4,0.8
1135067000,서울특별시,노원구,상계5동,"17,220",3,2.9
1135070000,서울특별시,노원구,상계8동,"26,690",6,-1.9
1135071000,서울특별시,노원구,상계9동,"37,090",6,-1.4
1135072000,서울특별시,노원구,상계10동,"22,040",5,-3.2
1135066500,서울특별시,노원구,상계3·4동,"23,620",3,0.2
1135069500,서울특별시,노원구,상계6·7동,"14,610",2,-2.0
1135062500,서울특별시,노원구,중계2·3동,"7,890",2,3.9
1135059500,서울특별시,노원구,공릉1동,"34,110",5,1.4
1138051000,서울특별시,은평구,녹번동,"23,820",3,-3.8
1138052000,서울특별시,은평구,불광1동,"27,830",4,-1.5
1138055100,서울특별시,은평구,갈현1동,"38,440",6,1.9
1138055200,서울특별시,은평구,갈현2동,"41,270",6,2.4
1138056000,서울특별시,은평구,구산동,"31,690",6,-2.8
1138057000,서울특별시,은평구,대조동,"25,090",5,-2.8
1138058000,서울특별시,은평구,응암1동,"43,570",6,1.4
1138059000,서울특별시,은평구,응암2동,"44,200",7,-0.5
1138063100,서울특별시,은평구,신사1동,"7,700",2,-3.8
1138063200,서울특별시,은평구,신사2동,"12,080",2,3.8
1138064000,서울특별시,은평구,증산동,"27,100",6,-2.8
1138065000,서울특별시,은평구,수색동,"15,800",2,-0.0
1138069000,서울특별시,은평구,진관동,"26,880",5,2.6
1138053000,서울특별시,은평구,불광2동,"20,020",2,2.3
1138060000,서울특별시,은평구,응암3동,"20,320",4,2.6
1138062500,서울특별시,은평구,역촌동,"34,370",4,-2.7
1141052000,서울특별시,서대문구,천연동,"31,810",7,-3.8
1141062000,서울특별시,서대문구,홍제1동,"20,480",5,3.2
1141064000,서울특별시,서대문구,홍제3동,"45,070",6,1.1
1141065500,서울특별시,서대문구,홍제2동,"34,600",6,3.7
1141066000,서울특별시,서대문구,홍은1동,"19,350",5,0.0
1141068500,서울특별시,서대문구,홍은2동,"24,950",5,-3.7
1141069000,서울특별시,서대문구,남가좌1동,"20,400",3,-0.9
1141070000,서울특별시,서대문구,남가좌2동,"27,220",4,-1.9
1141071000,서울특별시,서대문구,북가좌1동,"38,340",4,0.2
1141072000,서울특별시,서대문구,북가좌2동,"43,330",5,3.6
1141056500,서울특별시,서대문구,충현동,"29,510",3,-3.0
1141055500,서울특별시,서대문구,북아현동,"33,170",4,-2.0
1141058500,서울특별시,서대문구,신촌동,"25,400",5,2.6
1141061500,서울특별시,서대문구,연희동,"7,120",3,-3.6
1144059000,서울특별시,마포구,용강동,"13,890",3,-1.0
1144060000,서울특별시,마포구,대흥동,"25,460",4,1.5
1144061000,서울특별시,마포구,염리동,"34,760",7,0.9
1144063000,서울특별시,마포구,신수동,"43,810",6,-2.0
1144066000,서울특별시,마포구,서교동,"30,170",5,0.8
1144068000,서울특별시,마포구,합정동,"9,150",3,2.8
1144069000,서울특별시,마포구,망원1동,"14,150",2,0.9
1144070000,서울특별시,마포구,망원2동,"15,210",4,3.2
1144071000,서울특별시,마포구,연남동,"30,710",5,1.1
1144072000,서울특별시,마포구,성산1동,"9,430",3,-2.9
1144073000,서울특별시,마포구,성산2동,"32,510",4,0.1
1144074000,서울특별시,마포구,상암동,"14,490",2,1.9
1144058500,서울특별시,마포구,도화동,"33,260",6,3.7
1144065500,서울특별시,마포구,서강동,"31,280",4,-2.9
1144056500,서울특별시,마포구,공덕동,"11,070",4,-2.7
1144055500,서울특별시,마포구,아현동,"44,780",7,-3.7
1147051000,서울특별시,양천구,목1동,"30,940",4,3.5
1147052000,서울특별시,양천구,목2동,"25,030",5,-2.1
1147053000,서울특별시,양천구,목3동,"22,560",5,0.6
1147054000,서울특별시,양천구,목4동,"33,650",5,-3.4
1147056000,서울특별시,양천구,신월1동,"26,050",6,2.9
1147057000,서울특별시,양천구,신월2동,"45,490",7,-1.2
1147058000,서울특별시,양천구,신월3동,"38,890",6,2.7
1147059000,서울특별시,양천구,신월4동,"27,220",4,-1.3
1147060000,서울특별시,양천구,신월5동,"40,100",7,1.1
1147061000,서울특별시,양천구,신월6동,"15,700",2,0.9
1147061100,서울특별시,양천구,신월7동,"41,250",7,-1.2
1147062000,서울특별시,양천구,신정1동,"35,870",4,1.0
1147063000,서울특별시,양천구,신정2동,"43,300",7,3.8
1147064000,서울특별시,양천구,신정3동,"40,040",5,-1.9
1147067000,서울특별시,양천구,신정6동,"34,970",7,3.5
1147068000,서울특별시,양천구,신정7동,"31,320",4,1.3
1147055000,서울특별시,양천구,목5동,"13,780",4,-3.7
1147065000,서울특별시,양천구,신정4동,"36,440",4,-3.4
1150051000,서울특별시,강서구,염창동,"9,520",3,2.4
1150052000,서울특별시,강서구,등촌1동,"21,390",3,-3.2
1150053000,서울특별시,강서구,등촌2동,"27,710",4,-2.7
1150053500,서울특별시,강서구,등촌3동,"13,010",2,-3.8
1150059000,서울특별시,강서구,화곡본동,"22,510",4,-1.5
1150055000,서울특별시,강서구,화곡2동,"31,770",6,-1.7
1150056000,서울특별시,강서구,화곡3동,"28,750",6,-3.6
1150057000,서울특별시,강서구,화곡4동,"17,370",4,-1.7
1150059100,서울특별시,강서구,화곡6동,"16,610",2,3.9
1150059300,서울특별시,강서구,화곡8동,"10,880",4,-0.8
1150060300,서울특별시,강서구,가양1동,"28,880",6,-2.7
1150060400,서울특별시,강서구,가양2동,"34,450",5,2.8
1150060500,서울특별시,강서구,가양3동,"25,120",4,1.6
1150061100,서울특별시,강서구,발산1동,"23,570",5,3.1
1150062000,서울특별시,강서구,공항동,"41,760",5,-3.7
1150063000,서울특별시,강서구,방화1동,"6,160",3,-2.4
1150064000,서울특별시,강서구,방화2동,"22,570",3,-3.6
1150064100,서울특별시,강서구,방화3동,"16,200",4,-3.0
1150054000,서울특별시,강서구,화곡1동,"41,950",6,1.5
1150061500,서울특별시,강서구,우장산동,"47,360",6,4.0
1153051000,서울특별시,구로구,신도림동,"38,090",7,-0.5
1153052000,서울특별시,구로구,구로1동,"18,050",3,3.7
1153054000,서울특별시,구로구,구로3동,"27,510",3,2.9
1153055000,서울특별시,구로구,구로4동,"12,930",2,1.7
1153056000,서울특별시,구로구,구로5동,"37,050",6,-1.2
1153072000,서울특별시,구로구,고척1동,"24,430",6,-0.9
1153073000,서울특별시,구로구,고척2동,"38,770",5,3.4
1153075000,서울특별시,구로구,개봉2동,"16,380",4,1.1
1153076000,서울특별시,구로구,개봉3동,"47,810",5,1.3
1153077000,서울특별시,구로구,오류1동,"33,970",5,-1.6
1153080000,서울특별시,구로구,항동,"28,850",5,3.5
1153079000,서울특별시,구로구,수궁동,"8,280",2,-1.9
1153059500,서울특별시,구로구,가리봉동,"28,790",6,0.7
1153053000,서울특별시,구로구,구로2동,"17,980",3,2.7
1153074000,서울특별시,구로구,개봉1동,"47,020",8,-3.1
1153078000,서울특별시,구로구,오류2동,"19,550",2,-4.0
1154551000,서울특별시,금천구,가산동,"45,010",7,2.9
1154561000,서울특별시,금천구,독산1동,"16,770",4,-3.2
1154562000,서울특별시,금천구,독산2동,"20,920",5,3.7
1154563000,서울특별시,금천구,독산3동,"18,720",4,2.0
1154564000,서울특별시,금천구,독산4동,"21,050",4,-3.1
1154567000,서울특별시,금천구,시흥1동,"32,040",4,-1.3
1154568000,서울특별시,금천구,시흥2동,"13,190",3,1.5
1154569000,서울특별시,금천구,시흥3동,"43,840",7,-2.3
1154570000,서울특별시,금천구,시흥4동,"38,550",6,-3.5
1154571000,서울특별시,금천구,시흥5동,"25,220",6,-1.3
1156054000,서울특별시,영등포구,여의동,"17,780",4,-1.0
1156055000,서울특별시,영등포구,당산1동,"26,370",4,0.0
1156056000,서울특별시,영등포구,당산2동,"19,410",3,3.8
1156061000,서울특별시,영등포구,양평1동,"25,180",6,-3.4
1156062000,서울특별시,영등포구,양평2동,"34,720",4,3.4
1156063000,서울특별시,영등포구,신길1동,"40,120",4,-2.1
1156065000,서울특별시,영등포구,신길3동,"31,600",4,-3.3
1156066000,서울특별시,영등포구,신길4동,"45,500",8,-2.1
1156067000,서울특별시,영등포구,신길5동,"39,910",7,-0.0
1156068000,서울특별시,영등포구,신길6동,"11,070",2,2.1
1156069000,서울특별시,영등포구,신길7동,"26,600",5,1.0
1156070000,서울특별시,영등포구,대림1동,"26,500",4,0.8
1156071000,서울특별시,영등포구,대림2동,"24,320",5,-1.8
1156072000,서울특별시,영등포구,대림3동,"8,080",1,3.6
1156051500,서울특별시,영등포구,영등포본동,"24,470",5,0.2
1156053500,서울특별시,영등포구,영등포동,"9,800",2,-1.3
1156058500,서울특별시,영등포구,도림동,"28,980",5,-3.4
1156060500,서울특별시,영등포구,문래동,"44,050",6,-4.0
1159052000,서울특별시,동작구,노량진2동,"25,090",4,-3.6
1159053000,서울특별시,동작구,상도1동,"27,380",5,0.8
1159054000,서울특별시,동작구,상도2동,"6,240",3,-1.8
1159055000,서울특별시,동작구,상도3동,"46,350",6,0.1
1159056000,서울특별시,동작구,상도4동,"7,870",4,3.8
1159062000,서울특별시,동작구,사당1동,"8,150",2,2.9
1159064000,서울특별시,동작구,사당3동,"16,970",4,0.4
1159065000,서울특별시,동작구,사당4동,"16,200",2,-2.7
1159065100,서울특별시,동작구,사당5동,"35,040",5,-1.1
1159066000,서울특별시,동작구,대방동,"46,470",6,-1.7
1159067000,서울특별시,동작구,신대방1동,"29,070",4,-3.4
1159068000,서울특별시,동작구,신대방2동,"37,260",4,-1.5
1159060500,서울특별시,동작구,흑석동,"39,270",7,-3.5
1159051000,서울특별시,동작구,노량진1동,"10,230",3,-3.0
1159063000,서울특별시,동작구,사당2동,"13,130",2,-3.3
1162052500,서울특별시,관악구,보라매동,"27,070",4,-0.7
1162054500,서울특별시,관악구,청림동,"37,360",7,0.6
1162057500,서울특별시,관악구,행운동,"46,430",6,-2.5
1162058500,서울특별시,관악구,낙성대동,"21,520",4,-3.8
1162061500,서울특별시,관악구,중앙동,"46,230",7,-2.1
1162062500,서울특별시,관악구,인헌동,"17,210",2,0.5
1162063000,서울특별시,관악구,남현동,"26,540",3,-1.5
1162064500,서울특별시,관악구,서원동,"47,290",6,3.9
1162065500,서울특별시,관악구,신원동,"36,220",6,0.2
1162066500,서울특별시,관악구,서림동,"9,920",3,-2.6
1162068500,서울특별시,관악구,신사동,"38,780",5,0.5
1162069500,서울특별시,관악구,신림동,"10,660",2,-3.6
1162071500,서울특별시,관악구,난향동,"32,430",4,-3.1
1162072500,서울특별시,관악구,조원동,"33,550",4,-1.3
1162073500,서울특별시,관악구,대학동,"41,580",5,-3.2
1162060500,서울특별시,관악구,은천동,"45,990",6,2.2
1162056500,서울특별시,관악구,성현동,"29,220",5,-3.7
1162059500,서울특별시,관악구,청룡동,"20,920",5,-1.1
1162077500,서울특별시,관악구,난곡동,"46,130",5,2.3
1162074500,서울특별시,관악구,삼성동,"20,370",3,1.0
1162076500,서울특별시,관악구,미성동,"36,660",5,1.4
1165051000,서울특별시,서초구,서초1동,"25,090",6,-0.2
1165052000,서울특별시,서초구,서초2동,"44,400",8,-1.9
1165053000,서울특별시,서초구,서초3동,"20,370",4,-3.3
1165053100,서울특별시,서초구,서초4동,"10,680",4,3.9
1165054000,서울특별시,서초구,잠원동,"31,450",6,0.4
1165055000,서울특별시,서초구,반포본동,"16,190",4,2.2
1165056000,서울특별시,서초구,반포1동,"39,970",5,-1.4
1165057000,서울특별시,서초구,반포2동,"19,450",5,-0.2
1165058000,서울특별시,서초구,반포3동,"13,020",3,3.4
1165058100,서울특별시,서초구,반포4동,"26,540",4,-0.2
1165059000,서울특별시,서초구,방배본동,"31,000",5,0.8
1165060000,서울특별시,서초구,방배1동,"38,090",5,0.6
1165061000,서울특별시,서초구,방배2동,"45,940",6,3.3
1165062000,서울특별시,서초구,방배3동,"15,220",2,1.5
1165062100,서울특별시,서초구,방배4동,"31,230",6,0.6
1165065100,서울특별시,서초구,양재1동,"35,490",4,-1.9
1165065200,서울특별시,서초구,양재2동,"13,860",3,0.8
1165066000,서울특별시,서초구,내곡동,"36,470",6,3.9
1168051000,서울특별시,강남구,신사동,"10,460",2,-0.9
1168052100,서울특별시,강남구,논현1동,"6,710",3,3.0
1168053100,서울특별시,강남구,논현2동,"18,720",3,0.1
1168058000,서울특별시,강남구,삼성1동,"28,640",5,-0.2
1168059000,서울특별시,강남구,삼성2동,"29,370",6,3.6
1168060000,서울특별시,강남구,대치1동,"24,520",3,-1.4
1168063000,서울특별시,강남구,대치4동,"19,920",4,1.7
1168064000,서울특별시,강남구,역삼1동,"9,110",2,0.4
1168065000,서울특별시,강남구,역삼2동,"43,200",7,-1.6
1168065500,서울특별시,강남구,도곡1동,"14,110",2,-0.6
1168065600,서울특별시,강남구,도곡2동,"13,660",3,-4.0
1168066000,서울특별시,강남구,개포1동,"24,400",4,-3.4
1168069000,서울특별시,강남구,개포4동,"14,080",4,-0.5
1168072000,서울특별시,강남구,일원본동,"21,070",5,-3.5
1168073000,서울특별시,강남구,일원1동,"31,410",4,2.6
1168067500,서울특별시,강남구,개포3동,"8,590",2,0.6
1168075000,서울특별시,강남구,수서동,"15,080",4,1.5
1168070000,서울특별시,강남구,세곡동,"19,030",5,-1.6
1168054500,서울특별시,강남구,압구정동,"25,310",5,-1.9
1168056500,서울특별시,강남구,청담동,"25,300",3,3.4
1168061000,서울특별시,강남구,대치2동,"40,790",6,2.0
1168067000,서울특별시,강남구,개포2동,"27,590",6,0.3
1171051000,서울특별시,송파구,풍납1동,"20,460",4,-2.7
1171052000,서울특별시,송파구,풍납2동,"47,060",8,-3.4
1171053100,서울특별시,송파구,거여1동,"22,660",3,2.9
1171053200,서울특별시,송파구,거여2동,"45,390",8,2.9
1171054000,서울특별시,송파구,마천1동,"22,030",4,-0.4
1171055000,서울특별시,송파구,마천2동,"17,740",3,3.6
1171056100,서울특별시,송파구,방이1동,"14,330",3,-0.4
1171056200,서울특별시,송파구,방이2동,"45,450",8,-1.4
1171056600,서울특별시,송파구,오륜동,"35,470",6,-1.3
1171057000,서울특별시,송파구,오금동,"43,150",7,-0.9
1171058000,서울특별시,송파구,송파1동,"45,190",8,-1.6
1171059000,서울특별시,송파구,송파2동,"25,820",5,-0.2
1171060000,서울특별시,송파구,석촌동,"24,130",5,-3.1
1171061000,서울특별시,송파구,삼전동,"44,860",5,0.4
1171062000,서울특별시,송파구,가락본동,"44,800",8,0.6
1171063100,서울특별시,송파구,가락1동,"15,730",2,-3.2
1171063200,서울특별시,송파구,가락2동,"14,090",2,2.5
1171064100,서울특별시,송파구,문정1동,"17,600",3,3.7
1171064200,서울특별시,송파구,문정2동,"38,080",7,1.6
1171065000,서울특별시,송파구,잠실본동,"32,350",6,0.1
1171069000,서울특별시,송파구,잠실4동,"17,030",3,0.4
1171071000,서울특별시,송파구,잠실6동,"8,370",2,1.7
1171072000,서울특별시,송파구,잠실7동,"35,320",6,-0.8
1171067000,서울특별시,송파구,잠실2동,"33,220",4,0.4
1171068000,서울특별시,송파구,잠실3동,"46,990",8,3.3
1171064600,서울특별시,송파구,장지동,"22,910",5,-0.8
1171064700,서울특별시,송파구,위례동,"10,570",1,-2.0
1174052600,서울특별시,강동구,상일제2동,"42,900",5,-0.5
1174052500,서울특별시,강동구,상일제1동,"38,950",7,-0.2
1174053000,서울특별시,강동구,명일1동,"28,610",6,1.3
1174054000,서울특별시,강동구,명일2동,"15,560",4,0.3
1174055000,서울특별시,강동구,고덕1동,"28,010",4,1.1
1174056000,서울특별시,강동구,고덕2동,"45,590",6,-1.6
1174058000,서울특별시,강동구,암사2동,"13,090",4,1.4
1174059000,서울특별시,강동구,암사3동,"44,830",6,0.9
1174060000,서울특별시,강동구,천호1동,"28,960",5,-2.1
1174062000,서울특별시,강동구,천호3동,"23,250",5,1.8
1174064000,서울특별시,강동구,성내1동,"26,230",4,1.2
1174065000,서울특별시,강동구,성내2동,"45,680",8,-2.4
1174066000,서울특별시,강동구,성내3동,"22,410",3,-3.8
1174069000,서울특별시,강동구,둔촌1동,"37,440",6,2.1
1174070000,서울특별시,강동구,둔촌2동,"25,400",5,-1.7
1174057000,서울특별시,강동구,암사1동,"46,930",8,3.4
1174061000,서울특별시,강동구,천호2동,"40,160",7,2.6
1174068500,서울특별시,강동구,길동,"19,360",4,2.9
1174051500,서울특별시,강동구,강일동,"21,570",3,-3.3
